"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000077565",21,27,46,32,14,24
"ENSMUSG00000077614",29,16,12,8,13,9
"ENSMUSG00000077625",24,17,29,14,16,30
"ENSMUSG00000077677",18,13,7,8,7,15
"ENSMUSG00000077698",35,25,42,46,21,28
"ENSMUSG00000077702",18,7,10,11,6,6
"ENSMUSG00000077704",13,13,5,7,6,11
"ENSMUSG00000077705",34,34,26,23,34,22
"ENSMUSG00000077709",40,46,22,46,33,46
"ENSMUSG00000077711",19,12,9,15,13,27
"ENSMUSG00000077714",611,470,480,598,577,458
"ENSMUSG00000077734",24,11,22,19,14,22
"ENSMUSG00000077737",13,16,16,16,9,18
"ENSMUSG00000077797",24,30,25,24,16,21
"ENSMUSG00000077931",12,11,11,11,13,8
"ENSMUSG00000077990",41,25,17,31,21,19
"ENSMUSG00000078087",24,34,49,57,33,44
"ENSMUSG00000078117",69,62,21,28,64,59
"ENSMUSG00000078126",91,112,130,95,90,86
"ENSMUSG00000078137",59,34,16,18,44,22
"ENSMUSG00000078143",1155,1241,1143,1141,1269,1184
"ENSMUSG00000078144",24,9,16,22,15,8
"ENSMUSG00000078151",8,11,12,7,6,12
"ENSMUSG00000078153",40,26,86,79,26,37
"ENSMUSG00000078154",32,27,64,44,32,32
"ENSMUSG00000078161",92,67,21,0,10,5
"ENSMUSG00000078173",91,59,54,57,52,44
"ENSMUSG00000078185",425,422,379,446,348,405
"ENSMUSG00000078190",31,13,10,15,11,12
"ENSMUSG00000078193",238,267,280,252,204,290
"ENSMUSG00000078201",47,60,107,79,94,51
"ENSMUSG00000078202",125,77,150,69,113,140
"ENSMUSG00000078234",1081,858,285,399,280,188
"ENSMUSG00000078238",34,50,78,81,39,35
"ENSMUSG00000078240",10,6,18,10,10,6
"ENSMUSG00000078247",679,545,191,326,374,421
"ENSMUSG00000078249",74,108,169,102,55,127
"ENSMUSG00000078317",197,145,148,150,148,136
"ENSMUSG00000078348",416,321,619,557,464,296
"ENSMUSG00000078349",82,76,77,48,49,50
"ENSMUSG00000078350",946,829,913,943,1344,1002
"ENSMUSG00000078377",13,13,21,12,10,16
"ENSMUSG00000078427",468,553,939,798,711,621
"ENSMUSG00000078429",4834,3818,1826,1905,3307,3044
"ENSMUSG00000078435",175,175,124,128,115,80
"ENSMUSG00000078439",56,48,21,24,45,34
"ENSMUSG00000078440",254,219,231,191,162,165
"ENSMUSG00000078441",404,420,666,644,425,336
"ENSMUSG00000078451",82,55,25,38,20,32
"ENSMUSG00000078453",288,318,690,529,470,484
"ENSMUSG00000078480",10,13,18,10,8,14
"ENSMUSG00000078484",564,480,343,431,451,354
"ENSMUSG00000078485",166,113,133,133,96,96
"ENSMUSG00000078486",57,50,43,55,64,44
"ENSMUSG00000078487",47,32,24,20,23,24
"ENSMUSG00000078489",95,81,55,64,68,62
"ENSMUSG00000078495",46,272,465,424,300,298
"ENSMUSG00000078496",13,44,10,8,9,9
"ENSMUSG00000078498",8,60,10,4,0,12
"ENSMUSG00000078502",334,248,153,118,95,171
"ENSMUSG00000078503",148,448,165,145,2,105
"ENSMUSG00000078515",6701,6614,4684,4480,5555,5083
"ENSMUSG00000078517",2378,2353,2330,2382,2251,2246
"ENSMUSG00000078519",13,11,19,24,14,22
"ENSMUSG00000078521",38,48,53,40,23,32
"ENSMUSG00000078528",15,6,19,18,6,14
"ENSMUSG00000078532",9,13,80,61,2,8
"ENSMUSG00000078546",197,209,261,191,169,185
"ENSMUSG00000078552",147,174,152,165,154,127
"ENSMUSG00000078566",513,455,535,509,290,323
"ENSMUSG00000078570",174,163,169,181,147,137
"ENSMUSG00000078572",161,128,154,130,142,101
"ENSMUSG00000078578",12941,13050,10921,11955,12269,12386
"ENSMUSG00000078580",216,223,84,93,133,108
"ENSMUSG00000078584",389,307,359,325,379,310
"ENSMUSG00000078588",352,225,198,271,398,359
"ENSMUSG00000078607",637,461,24,50,223,192
"ENSMUSG00000078611",29,35,28,35,42,24
"ENSMUSG00000078612",446,470,325,320,337,355
"ENSMUSG00000078619",2058,1993,2159,2097,2278,1851
"ENSMUSG00000078622",2814,2941,2956,2844,3244,2720
"ENSMUSG00000078630",229,290,226,195,174,176
"ENSMUSG00000078635",48,66,37,53,68,78
"ENSMUSG00000078648",56,54,21,22,31,43
"ENSMUSG00000078651",65,58,59,64,43,66
"ENSMUSG00000078652",1120,1110,2272,1818,1661,1271
"ENSMUSG00000078653",616,622,807,852,750,669
"ENSMUSG00000078656",722,706,983,942,824,653
"ENSMUSG00000078670",282,429,129,226,109,85
"ENSMUSG00000078671",4659,5204,3382,3822,3845,4869
"ENSMUSG00000078676",1378,1316,1162,1114,1152,1096
"ENSMUSG00000078681",393,321,365,385,358,310
"ENSMUSG00000078684",470,456,342,312,323,94
"ENSMUSG00000078695",81,68,54,67,56,34
"ENSMUSG00000078700",215,284,266,271,184,163
"ENSMUSG00000078706",1237,196,195,242,174,176
"ENSMUSG00000078713",163,120,314,189,148,104
"ENSMUSG00000078716",293,313,170,191,269,214
"ENSMUSG00000078719",219,212,258,251,253,226
"ENSMUSG00000078735",16,11,6,12,9,15
"ENSMUSG00000078762",157,104,179,132,125,107
"ENSMUSG00000078765",179,210,212,236,203,187
"ENSMUSG00000078768",75,60,69,71,60,51
"ENSMUSG00000078771",38,41,33,38,58,32
"ENSMUSG00000078772",300,265,279,365,443,319
"ENSMUSG00000078773",71,92,199,132,85,67
"ENSMUSG00000078776",328204,299992,8977,21435,48084,53571
"ENSMUSG00000078779",183,123,151,110,141,115
"ENSMUSG00000078784",478,657,831,857,656,676
"ENSMUSG00000078786",1605,2304,1476,1977,1845,2327
"ENSMUSG00000078787",169,187,124,100,138,163
"ENSMUSG00000078789",190,211,281,244,177,144
"ENSMUSG00000078794",25,38,3,11,10,15
"ENSMUSG00000078812",2847,3208,6018,4472,3634,3164
"ENSMUSG00000078813",407,386,427,419,390,352
"ENSMUSG00000078816",152,135,143,137,126,92
"ENSMUSG00000078851",287,232,633,529,321,293
"ENSMUSG00000078853",124,81,1021,117,51,44
"ENSMUSG00000078861",164,175,93,118,135,143
"ENSMUSG00000078862",245,219,197,211,200,171
"ENSMUSG00000078866",497,496,253,186,365,445
"ENSMUSG00000078867",5,12,27,7,11,9
"ENSMUSG00000078868",12,48,9,6,10,24
"ENSMUSG00000078870",108,108,84,57,91,57
"ENSMUSG00000078875",19,22,11,11,5,6
"ENSMUSG00000078877",146,122,123,108,61,62
"ENSMUSG00000078878",178,149,147,73,167,80
"ENSMUSG00000078879",59,45,54,23,44,28
"ENSMUSG00000078902",19,45,9,7,11,11
"ENSMUSG00000078908",739,649,960,1030,839,644
"ENSMUSG00000078915",81,249,64,93,61,67
"ENSMUSG00000078919",922,839,581,713,717,618
"ENSMUSG00000078920",43,17,421,19,10,5
"ENSMUSG00000078921",23,7,293,19,10,2
"ENSMUSG00000078922",31,8,745,30,11,6
"ENSMUSG00000078923",551,586,622,611,688,685
"ENSMUSG00000078925",43,81,14,51,14,21
"ENSMUSG00000078931",528,343,594,616,577,429
"ENSMUSG00000078937",57,59,27,43,21,28
"ENSMUSG00000078941",567,575,1273,1061,759,765
"ENSMUSG00000078942",38,26,145,140,9,16
"ENSMUSG00000078945",12,12,42,34,5,8
"ENSMUSG00000078954",326,266,153,148,202,96
"ENSMUSG00000078963",36,44,10,18,17,27
"ENSMUSG00000078970",977,969,1339,1296,1273,1092
"ENSMUSG00000078974",342,479,450,394,325,345
"ENSMUSG00000078994",104,112,117,140,116,99
"ENSMUSG00000078995",68,59,29,61,65,46
"ENSMUSG00000079003",232,314,325,358,302,249
"ENSMUSG00000079011",14,16,9,12,16,15
"ENSMUSG00000079012",16,9,43,22,15,12
"ENSMUSG00000079014",148,128,376,144,150,69
"ENSMUSG00000079017",10,2,26,11,3,3
"ENSMUSG00000079018",326,270,2236,1517,565,794
"ENSMUSG00000079019",24,20,6,14,7,3
"ENSMUSG00000079020",624,694,424,485,470,482
"ENSMUSG00000079033",46,30,9,12,15,18
"ENSMUSG00000079036",317,344,507,412,328,314
"ENSMUSG00000079037",2072,2256,2476,2230,2381,1422
"ENSMUSG00000079038",64,100,70,52,30,32
"ENSMUSG00000079043",245,210,273,210,247,159
"ENSMUSG00000079051",34,27,3,7,6,12
"ENSMUSG00000079056",668,779,125,227,297,377
"ENSMUSG00000079057",875,810,262,246,513,307
"ENSMUSG00000079065",611,727,512,729,501,487
"ENSMUSG00000079076",16,13,5,16,10,11
"ENSMUSG00000079083",345,346,310,300,298,285
"ENSMUSG00000079084",1231,1064,550,634,746,772
"ENSMUSG00000079104",951,976,1064,1010,927,749
"ENSMUSG00000079105",207,385,31,44,74,127
"ENSMUSG00000079108",316,360,333,329,299,271
"ENSMUSG00000079109",394,285,306,293,273,259
"ENSMUSG00000079110",125,115,47,64,66,63
"ENSMUSG00000079111",1862,1903,2264,2162,1769,1513
"ENSMUSG00000079138",30,26,169,179,46,50
"ENSMUSG00000079139",248,322,522,355,395,285
"ENSMUSG00000079143",16,6,9,11,11,6
"ENSMUSG00000079144",807,1010,1064,1016,657,912
"ENSMUSG00000079164",109,78,151,158,67,54
"ENSMUSG00000079165",137,115,96,124,69,108
"ENSMUSG00000079173",31,20,10,22,15,21
"ENSMUSG00000079177",27,27,21,28,27,40
"ENSMUSG00000079179",1922,1758,1721,1992,1632,1669
"ENSMUSG00000079184",727,810,744,716,823,749
"ENSMUSG00000079197",234,244,834,512,331,253
"ENSMUSG00000079215",2545,2242,2598,2822,2975,2384
"ENSMUSG00000079223",7,6,14,10,17,6
"ENSMUSG00000079224",10,8,10,14,9,15
"ENSMUSG00000079225",49,90,142,105,108,123
"ENSMUSG00000079227",15,9,43,15,14,5
"ENSMUSG00000079242",115,91,51,81,63,75
"ENSMUSG00000079243",18,12,10,6,14,19
"ENSMUSG00000079260",148,135,143,138,102,115
"ENSMUSG00000079261",40,18,2,2,23,16
"ENSMUSG00000079277",80,66,49,67,40,51
"ENSMUSG00000079283",80,44,117,72,71,75
"ENSMUSG00000079293",12,15,47,12,11,14
"ENSMUSG00000079297",27,45,42,51,45,47
"ENSMUSG00000079304",4,15,21,11,19,19
"ENSMUSG00000079316",644,613,574,638,578,541
"ENSMUSG00000079317",157,169,203,228,229,178
"ENSMUSG00000079323",52,36,72,57,34,27
"ENSMUSG00000079330",16,12,76,53,16,8
"ENSMUSG00000079334",1425,958,846,1457,1594,1537
"ENSMUSG00000079339",16,7,209,56,4,2
"ENSMUSG00000079343",2816,1564,102,227,488,457
"ENSMUSG00000079355",2409,1493,1076,1581,4408,4504
"ENSMUSG00000079356",15,13,2,4,7,11
"ENSMUSG00000079357",207,193,271,238,255,219
"ENSMUSG00000079362",63,29,506,14,10,9
"ENSMUSG00000079363",62,20,493,10,22,16
"ENSMUSG00000079364",10,2,6,12,11,6
"ENSMUSG00000079414",23,22,13,12,11,11
"ENSMUSG00000079415",21,18,20,12,16,21
"ENSMUSG00000079418",197,184,199,234,207,255
"ENSMUSG00000079426",1515,1459,2063,2012,1560,1281
"ENSMUSG00000079427",90,75,94,101,73,83
"ENSMUSG00000079428",13,27,2,10,5,5
"ENSMUSG00000079429",175,164,293,190,201,136
"ENSMUSG00000079435",2218,2196,3144,2864,2619,2898
"ENSMUSG00000079436",10,29,21,22,33,19
"ENSMUSG00000079442",48,36,19,20,18,19
"ENSMUSG00000079444",369,395,516,476,403,330
"ENSMUSG00000079445",376,205,66,57,68,66
"ENSMUSG00000079450",42,16,22,22,38,30
"ENSMUSG00000079451",0,0,2028,538,137,8
"ENSMUSG00000079462",185,193,425,410,579,534
"ENSMUSG00000079465",2631,2585,309,508,1819,1711
"ENSMUSG00000079467",84,113,47,48,86,72
"ENSMUSG00000079469",1236,1239,1100,1145,1230,1044
"ENSMUSG00000079470",813,1113,1172,1436,679,990
"ENSMUSG00000079477",4159,4751,4494,4378,4584,4429
"ENSMUSG00000079478",502,373,635,569,516,407
"ENSMUSG00000079480",51,64,95,69,76,67
"ENSMUSG00000079481",468,645,41,52,130,207
"ENSMUSG00000079484",95,96,54,56,67,73
"ENSMUSG00000079487",1917,1730,1446,1588,1806,1660
"ENSMUSG00000079489",29,32,34,35,52,46
"ENSMUSG00000079491",178,254,453,288,294,250
"ENSMUSG00000079499",211,263,148,226,275,284
"ENSMUSG00000079505",504,371,597,348,222,287
"ENSMUSG00000079507",58,55,68,52,38,32
"ENSMUSG00000079508",107,128,151,166,157,110
"ENSMUSG00000079509",2343,2349,2309,2281,2568,2339
"ENSMUSG00000079511",252,232,257,256,247,204
"ENSMUSG00000079523",215,289,301,244,205,277
"ENSMUSG00000079546",12,17,31,47,30,11
"ENSMUSG00000079547",37,31,43,36,19,27
"ENSMUSG00000079550",37,53,41,43,40,46
"ENSMUSG00000079553",32,57,228,161,90,41
"ENSMUSG00000079555",389,311,455,509,499,371
"ENSMUSG00000079557",632,572,512,589,646,595
"ENSMUSG00000079559",462,357,111,195,259,239
"ENSMUSG00000079560",157,90,86,68,89,99
"ENSMUSG00000079562",2583,2217,2172,2187,2258,2133
"ENSMUSG00000079564",612,862,900,1206,950,1127
"ENSMUSG00000079575",26,22,19,22,18,19
"ENSMUSG00000079592",30,15,3,2,8,11
"ENSMUSG00000079593",19,15,9,11,15,11
"ENSMUSG00000079602",266,219,78,118,181,175
"ENSMUSG00000079604",241,396,380,444,556,325
"ENSMUSG00000079605",226,197,244,210,204,156
"ENSMUSG00000079610",103,86,93,97,87,83
"ENSMUSG00000079614",2575,2728,3175,2724,2519,2262
"ENSMUSG00000079641",2028,2136,2942,2651,2495,2807
"ENSMUSG00000079645",25,8,35,39,18,24
"ENSMUSG00000079652",20,21,6,12,17,35
"ENSMUSG00000079657",76,82,96,65,80,73
"ENSMUSG00000079658",1085,1227,975,971,1112,1154
"ENSMUSG00000079659",627,533,401,473,486,559
"ENSMUSG00000079669",195,156,73,71,118,80
"ENSMUSG00000079671",80,57,53,53,4,15
"ENSMUSG00000079677",90,101,106,116,100,105
"ENSMUSG00000079685",24,39,132,114,94,32
"ENSMUSG00000079694",163,155,11,30,58,76
"ENSMUSG00000079697",23,18,9,8,17,18
"ENSMUSG00000079737",85,141,78,89,104,86
"ENSMUSG00000079834",146,151,204,197,189,175
"ENSMUSG00000079884",67,68,63,59,44,28
"ENSMUSG00000079906",7,13,7,18,19,11
"ENSMUSG00000079941",8,20,21,19,19,11
"ENSMUSG00000079942",21,23,31,34,37,30
"ENSMUSG00000079993",26,12,11,34,21,30
"ENSMUSG00000080021",7,13,9,10,19,8
"ENSMUSG00000080058",8868,7669,3178,4247,4462,5212
"ENSMUSG00000080059",34,25,19,22,17,12
"ENSMUSG00000080115",27,40,16,15,9,12
"ENSMUSG00000080237",24,20,9,18,19,21
"ENSMUSG00000080242",397,466,557,504,401,374
"ENSMUSG00000080268",261,216,314,261,234,204
"ENSMUSG00000080316",443,335,280,513,436,415
"ENSMUSG00000080352",42,30,54,51,34,64
"ENSMUSG00000080356",24,17,0,4,28,8
"ENSMUSG00000080365",20,38,17,22,38,54
"ENSMUSG00000080374",284,318,249,281,310,272
"ENSMUSG00000080440",21,15,28,30,44,40
"ENSMUSG00000080452",46,45,46,65,38,34
"ENSMUSG00000080463",51,40,54,34,33,62
"ENSMUSG00000080465",14,15,7,8,18,18
"ENSMUSG00000080469",5,9,10,15,15,12
"ENSMUSG00000080478",19,6,5,12,6,12
"ENSMUSG00000080486",30,30,36,36,21,24
"ENSMUSG00000080527",30,17,16,12,19,15
"ENSMUSG00000080533",43,45,29,32,28,44
"ENSMUSG00000080538",7,6,12,7,10,12
"ENSMUSG00000080542",25,26,14,18,14,28
"ENSMUSG00000080574",21,15,6,22,26,12
"ENSMUSG00000080615",21,16,14,6,7,15
"ENSMUSG00000080626",30,29,9,7,15,15
"ENSMUSG00000080683",19,13,17,16,7,12
"ENSMUSG00000080717",74,85,120,101,74,92
"ENSMUSG00000080727",24,17,22,12,13,11
"ENSMUSG00000080731",15,21,26,24,25,12
"ENSMUSG00000080741",40,50,9,18,20,16
"ENSMUSG00000080746",13,6,17,8,11,19
"ENSMUSG00000080753",13,7,6,16,15,21
"ENSMUSG00000080775",10,16,28,24,18,18
"ENSMUSG00000080776",117,138,148,146,167,172
"ENSMUSG00000080779",9,12,14,14,5,14
"ENSMUSG00000080780",21,11,18,16,20,16
"ENSMUSG00000080791",15,11,7,7,14,6
"ENSMUSG00000080810",5,9,13,16,7,14
"ENSMUSG00000080831",18,18,13,20,18,15
"ENSMUSG00000080845",3,8,14,8,16,14
"ENSMUSG00000080848",122,156,203,133,127,200
"ENSMUSG00000080875",13,16,28,36,21,19
"ENSMUSG00000080877",12,17,17,10,16,22
"ENSMUSG00000080885",40,29,39,30,32,27
"ENSMUSG00000080893",118,142,213,182,133,124
"ENSMUSG00000080902",4,4,12,11,11,12
"ENSMUSG00000080904",9,9,14,16,16,15
"ENSMUSG00000080907",24,32,192,167,69,67
"ENSMUSG00000080921",155,197,216,165,155,214
"ENSMUSG00000080928",20,13,10,11,8,6
"ENSMUSG00000080935",21,21,51,43,30,22
"ENSMUSG00000080942",4,17,5,6,33,12
"ENSMUSG00000080957",10,11,20,15,4,12
"ENSMUSG00000080972",24,22,17,27,16,19
"ENSMUSG00000080989",64,82,229,232,83,86
"ENSMUSG00000081005",20,9,31,30,22,15
"ENSMUSG00000081042",13,11,3,3,3,11
"ENSMUSG00000081046",31,27,10,20,30,18
"ENSMUSG00000081049",1275,1435,1550,1333,110,156
"ENSMUSG00000081051",305,284,335,255,360,364
"ENSMUSG00000081058",19,41,18,22,29,14
"ENSMUSG00000081077",12,16,6,11,11,9
"ENSMUSG00000081087",18,20,26,30,14,35
"ENSMUSG00000081094",197,187,266,199,214,230
"ENSMUSG00000081111",15,16,28,18,26,9
"ENSMUSG00000081113",9,13,7,19,8,14
"ENSMUSG00000081126",10,15,12,14,11,11
"ENSMUSG00000081137",15,20,7,12,16,12
"ENSMUSG00000081143",5,6,10,18,11,5
"ENSMUSG00000081179",10,16,14,12,14,22
"ENSMUSG00000081208",54,36,29,35,57,15
"ENSMUSG00000081214",63,55,76,57,40,50
"ENSMUSG00000081217",18,8,6,24,14,12
"ENSMUSG00000081223",10,11,16,14,34,8
"ENSMUSG00000081232",18,25,18,6,14,25
"ENSMUSG00000081236",12,8,10,12,9,12
"ENSMUSG00000081249",18,39,11,19,20,22
"ENSMUSG00000081270",29,32,20,36,38,46
"ENSMUSG00000081272",81,104,125,109,94,95
"ENSMUSG00000081281",14,11,14,11,6,15
"ENSMUSG00000081282",12,9,5,11,10,21
"ENSMUSG00000081344",228,386,231,179,190,242
"ENSMUSG00000081355",336,424,125,181,205,234
"ENSMUSG00000081375",65,91,65,71,90,152
"ENSMUSG00000081378",35,31,58,44,36,35
"ENSMUSG00000081382",26,20,18,16,29,32
"ENSMUSG00000081400",70,75,106,61,84,94
"ENSMUSG00000081406",197,258,292,236,267,290
"ENSMUSG00000081416",9,13,27,16,23,14
"ENSMUSG00000081431",16,20,7,16,10,11
"ENSMUSG00000081434",24,71,390,296,277,284
"ENSMUSG00000081451",25,16,17,24,26,9
"ENSMUSG00000081453",27,32,46,30,27,37
"ENSMUSG00000081467",12,11,20,14,20,21
"ENSMUSG00000081476",13,9,31,36,21,16
"ENSMUSG00000081485",63,41,69,48,53,37
"ENSMUSG00000081487",51,38,39,57,34,40
"ENSMUSG00000081488",8,11,12,12,17,12
"ENSMUSG00000081492",10,12,9,7,17,11
"ENSMUSG00000081497",16,9,6,11,10,9
"ENSMUSG00000081512",175,138,308,174,144,121
"ENSMUSG00000081519",207,216,227,157,178,168
"ENSMUSG00000081528",10,7,7,11,17,2
"ENSMUSG00000081534",826,574,413,448,676,506
"ENSMUSG00000081594",12,15,10,8,14,8
"ENSMUSG00000081602",12,7,16,16,13,8
"ENSMUSG00000081603",101,152,164,102,85,86
"ENSMUSG00000081604",25,15,21,19,32,27
"ENSMUSG00000081608",12,7,7,11,13,5
"ENSMUSG00000081619",38,18,21,19,19,14
"ENSMUSG00000081640",4,3,61,30,62,80
"ENSMUSG00000081642",3,7,6,10,10,11
"ENSMUSG00000081648",21,25,10,8,21,31
"ENSMUSG00000081650",62,53,29,51,46,44
"ENSMUSG00000081669",86,23,16,3,4,6
"ENSMUSG00000081683",144,72,199,206,274,303
"ENSMUSG00000081684",8,17,3258,2594,2040,1968
"ENSMUSG00000081692",16,13,6,12,8,6
"ENSMUSG00000081730",14,6,9,10,15,8
"ENSMUSG00000081739",19,34,17,15,8,28
"ENSMUSG00000081752",15,9,21,12,14,11
"ENSMUSG00000081769",78,52,29,23,39,56
"ENSMUSG00000081783",24,6,19,34,23,11
"ENSMUSG00000081788",229,249,218,242,231,249
"ENSMUSG00000081792",12,4,17,11,6,11
"ENSMUSG00000081801",68,50,76,154,91,111
"ENSMUSG00000081805",20,9,21,24,21,16
"ENSMUSG00000081824",12,17,14,11,17,19
"ENSMUSG00000081838",32,18,7,23,25,28
"ENSMUSG00000081855",14,21,54,19,288,317
"ENSMUSG00000081885",29,25,40,34,32,35
"ENSMUSG00000081887",10,11,4,19,7,9
"ENSMUSG00000081894",16,15,14,12,17,22
"ENSMUSG00000081895",49,41,41,55,46,66
"ENSMUSG00000081926",21,18,47,22,36,44
"ENSMUSG00000081944",40,21,20,42,28,21
"ENSMUSG00000081974",45,40,50,39,53,44
"ENSMUSG00000081984",12,7,20,19,31,11
"ENSMUSG00000081992",16,11,24,14,26,18
"ENSMUSG00000081999",10,20,57,38,16,11
"ENSMUSG00000082001",18,26,20,11,16,5
"ENSMUSG00000082016",9,12,18,18,7,5
"ENSMUSG00000082029",14,21,47,31,41,22
"ENSMUSG00000082044",24,30,79,38,30,27
"ENSMUSG00000082057",67,46,39,68,90,127
"ENSMUSG00000082064",29,21,26,15,18,34
"ENSMUSG00000082082",8,95,13,18,3,12
"ENSMUSG00000082100",29,17,19,23,21,18
"ENSMUSG00000082127",117,115,174,133,141,115
"ENSMUSG00000082144",5,12,4,6,11,11
"ENSMUSG00000082145",87,97,81,97,98,82
"ENSMUSG00000082148",25,7,11,14,10,12
"ENSMUSG00000082163",13,8,27,16,15,9
"ENSMUSG00000082171",13,8,13,14,20,15
"ENSMUSG00000082180",12,6,13,15,9,11
"ENSMUSG00000082186",10,11,7,6,9,12
"ENSMUSG00000082193",13,18,16,19,28,30
"ENSMUSG00000082195",27,41,39,35,33,38
"ENSMUSG00000082210",24,15,6,12,22,15
"ENSMUSG00000082233",18,15,17,14,4,21
"ENSMUSG00000082260",18,16,17,26,10,30
"ENSMUSG00000082274",45,39,26,23,11,18
"ENSMUSG00000082284",4,11,13,12,9,11
"ENSMUSG00000082286",222,164,153,125,200,96
"ENSMUSG00000082315",29,16,18,15,16,12
"ENSMUSG00000082319",219,256,309,269,252,287
"ENSMUSG00000082321",32,49,20,8,9,12
"ENSMUSG00000082345",29,18,18,42,19,9
"ENSMUSG00000082361",10,8,64,39,9,6
"ENSMUSG00000082394",16,8,6,10,10,18
"ENSMUSG00000082399",9,11,11,11,8,8
"ENSMUSG00000082419",24,16,50,15,18,25
"ENSMUSG00000082424",3,11,31,12,13,12
"ENSMUSG00000082429",14,18,17,14,9,8
"ENSMUSG00000082431",10,6,20,12,10,11
"ENSMUSG00000082436",10,15,20,6,7,8
"ENSMUSG00000082454",266,349,167,200,205,261
"ENSMUSG00000082465",26,20,32,28,37,40
"ENSMUSG00000082475",12,15,16,8,9,11
"ENSMUSG00000082481",12,13,16,11,9,9
"ENSMUSG00000082491",27,53,4,3,4,14
"ENSMUSG00000082508",15,7,7,12,10,12
"ENSMUSG00000082513",13,12,24,20,26,11
"ENSMUSG00000082515",5,6,16,15,7,11
"ENSMUSG00000082529",12,11,4,6,16,14
"ENSMUSG00000082536",577,589,761,685,680,756
"ENSMUSG00000082560",16,7,3,18,11,25
"ENSMUSG00000082561",14,21,6,7,4,11
"ENSMUSG00000082570",16,22,6,8,8,18
"ENSMUSG00000082575",34,43,36,35,67,57
"ENSMUSG00000082585",7,12,26,24,18,22
"ENSMUSG00000082609",52,67,90,56,41,51
"ENSMUSG00000082645",18,17,6,19,11,12
"ENSMUSG00000082674",59,67,46,47,48,60
"ENSMUSG00000082675",7,11,12,12,7,15
"ENSMUSG00000082677",12,7,20,27,26,14
"ENSMUSG00000082686",34,20,35,38,21,22
"ENSMUSG00000082691",21,18,11,14,11,14
"ENSMUSG00000082706",52,58,118,73,81,57
"ENSMUSG00000082741",3,3,10,10,6,11
"ENSMUSG00000082762",5,12,13,11,9,9
"ENSMUSG00000082766",9,18,10,19,5,16
"ENSMUSG00000082791",148,129,153,163,156,127
"ENSMUSG00000082806",36,35,34,23,38,27
"ENSMUSG00000082816",4,11,29,22,19,12
"ENSMUSG00000082820",25,17,9,11,17,18
"ENSMUSG00000082848",162,206,116,142,91,184
"ENSMUSG00000082860",15,15,19,15,15,11
"ENSMUSG00000082876",12,9,7,10,13,14
"ENSMUSG00000082884",20,21,20,16,15,28
"ENSMUSG00000082895",71,80,65,53,58,72
"ENSMUSG00000082896",19,34,33,31,20,24
"ENSMUSG00000082901",160,152,153,133,159,169
"ENSMUSG00000082908",300,286,268,279,231,245
"ENSMUSG00000082922",4,3,13,14,11,5
"ENSMUSG00000082925",37,40,41,40,33,34
"ENSMUSG00000082926",10,22,16,12,15,21
"ENSMUSG00000082928",19,13,3,6,9,19
"ENSMUSG00000082935",142,182,27,110,132,118
"ENSMUSG00000082936",19,25,13,12,14,19
"ENSMUSG00000082988",23,17,14,16,10,15
"ENSMUSG00000082990",32,20,17,24,32,5
"ENSMUSG00000083011",7,13,6,11,14,14
"ENSMUSG00000083012",413,478,545,509,466,403
"ENSMUSG00000083013",3,20,13,14,14,3
"ENSMUSG00000083014",10,7,17,6,18,11
"ENSMUSG00000083019",2,7,99,79,127,137
"ENSMUSG00000083022",32,31,59,40,29,35
"ENSMUSG00000083027",30,40,37,34,33,43
"ENSMUSG00000083043",10,9,9,14,11,8
"ENSMUSG00000083061",46,41,43,51,57,38
"ENSMUSG00000083064",47,63,32,34,43,40
"ENSMUSG00000083087",16,12,28,26,19,25
"ENSMUSG00000083097",14,18,29,12,23,22
"ENSMUSG00000083116",42,32,34,46,34,57
"ENSMUSG00000083179",12,11,11,8,9,2
"ENSMUSG00000083193",12,9,14,8,10,12
"ENSMUSG00000083208",14,12,4,8,8,12
"ENSMUSG00000083218",23,15,24,10,23,9
"ENSMUSG00000083226",9,8,4,11,10,11
"ENSMUSG00000083246",16,15,10,12,10,12
"ENSMUSG00000083261",12,32,22,26,42,59
"ENSMUSG00000083277",27,7,24,14,19,22
"ENSMUSG00000083282",869,668,453,672,843,841
"ENSMUSG00000083283",27,45,40,30,27,34
"ENSMUSG00000083306",26,16,18,18,28,8
"ENSMUSG00000083325",13,13,14,16,15,12
"ENSMUSG00000083327",1493,1718,2337,2134,1772,1628
"ENSMUSG00000083328",23,34,55,34,46,46
"ENSMUSG00000083337",25,35,29,36,26,40
"ENSMUSG00000083339",18,13,17,19,14,14
"ENSMUSG00000083344",15,15,16,7,9,8
"ENSMUSG00000083364",16,8,5,11,13,12
"ENSMUSG00000083367",34,27,39,40,48,38
"ENSMUSG00000083382",29,30,31,50,58,66
"ENSMUSG00000083394",13,6,13,14,16,12
"ENSMUSG00000083396",45,71,84,77,86,117
"ENSMUSG00000083405",1339,1245,1107,1089,1046,1080
"ENSMUSG00000083424",13,13,24,8,20,22
"ENSMUSG00000083435",10,12,22,27,28,11
"ENSMUSG00000083465",25,16,13,39,33,34
"ENSMUSG00000083474",21,11,7,7,20,8
